State,Business Freedom,Trade Freedom ,Fiscal Freedom,Gov't Size,Monetary Freedom,Investment Freedom,Financial Freedom,Property Rights,Freedom from Corruption ,Labor Freedom
1995,85.00,78.40,64.83,57.81,83.82,70.00,70.00,90.00,90.00,
1996,85.00,78.40,64.72,57.81,84.53,70.00,70.00,90.00,90.00,
1997,85.00,78.40,64.51,60.03,84.47,70.00,70.00,90.00,77.90,
1998,85.00,78.40,64.28,60.25,84.32,70.00,70.00,90.00,76.60,
1999,85.00,78.40,64.06,61.34,85.01,70.00,70.00,90.00,76.10,
2000,85.00,78.40,63.83,69.28,86.30,70.00,70.00,90.00,75.00,
2001,85.00,81.00,63.48,71.17,85.91,70.00,90.00,90.00,75.00,
2002,85.00,79.40,63.42,65.32,84.14,70.00,90.00,90.00,78.00,
2003,85.00,81.40,63.52,63.46,84.23,70.00,90.00,90.00,76.00,
2004,85.00,81.40,67.21,62.19,85.92,70.00,90.00,90.00,77.00,
2005,85.00,79.80,68.58,60.03,85.67,70.00,90.00,90.00,75.00,95.39
2006,93.17,81.40,68.95,61.12,84.99,70.00,90.00,90.00,75.00,97.82
2007,91.38,86.60,69.05,60.25,83.80,80.00,80.00,90.00,76.00,94.67
2008,92.64,86.80,68.32,59.81,83.67,80.00,80.00,90.00,73.00,95.41
2009,91.90,86.80,67.60,59.60,84.00,80.00,80.00,90.00,72.00,95.10
2010,91.30,86.90,67.50,58.00,78.10,75.00,70.00,85.00,73.00,94.80
2011,91.00,86.40,68.30,54.60,77.40,75.00,70.00,85.00,75.00,95.70
2012,91.10,86.40,69.80,46.70,77.20,70.00,70.00,85.00,71.00,95.80
2013,90.50,86.40,69.30,47.80,75.00,70.00,70.00,85.00,71.00,95.50
2014,89.20,86.80,65.80,48.10,75.40,70.00,70.00,80.00,72.00,97.20
2015,88.80,87.00,66.20,51.80,76.60,70.00,70.00,80.00,73.00,98.50
2016,84.70,87.00,65.60,54.70,77.00,70.00,70.00,80.00,74.00,91.40
