State,Virtual Flows,Physical Flows,Flow Amplifiers
1993,12.9,17.9,16.67
1994,13.1,19.27,16.67
1995,13.31,21.35,16.67
1996,14.25,22.93,16.67
1997,15.26,25.21,16.67
1998,16.51,27.56,16.67
1999,18.16,30.46,16.67
2000,21.61,33.29,17.53
2001,25.88,32.27,19
2002,30.13,31.98,20.6
2003,33.33,33.33,22.33
2004,37.03,35.93,24.19
2005,41.71,36.45,26.22
2006,46.53,41.58,28.4
2007,53.48,43.42,30.77
2008,60.47,45.36,33.33
2009,64.22,44.49,35.96
2010,69.37,46.44,39.28
2011,71.49,45.66,40.89
2012,73.05,46.15,33.1
2013,74.45,51.29,38.82
2014,77.86,51.64,36.72
2015,86.15,54.99,33.54
