State,Computing,Digital Storage,Bandwidth
1992,4.5,1.76,
1993,6.93,3.19,1
1994,10.67,5.8,1
1995,16.43,10.54,1
1996,25.29,19.17,1
1997,38.95,34.86,1
1998,59.97,63.38,1
1999,92.33,115.27,1
2000,142.16,209.6,1.39
2001,218.89,380.56,1.74
2002,337.03,693.43,2.31
2003,522.93,1040.15,2.78
2004,886.3,1560.22,3.47
2005,1450.42,2340.34,4.17
2006,2105.77,3510.51,5.21
2007,2714.42,5265.76,6.51
2008,3769.16,7898.64,7.72
2009,5263.16,12500,11.11
2010,7868.85,18132.78,21.26
2011,10003.87,25035.68,31.57
2012,16009.22,35065.57,44.33
2013,21493.62,40510.63,61.27
2014,21898.48,50441.28,74.4
2015,30471.08,61017.27,90.58
